"Nhood","UMAP1","UMAP2","Size","logFC","PValue","SpatialFDR","SigCat","Direction","Subtype","SubtypePurity"
78,-12.2072119510452,-0.337534684529412,73,0.00549707216427743,0.986950125743739,0.996292457218056,"NS","NS","Pericyte",1
79,13.6973039145768,-6.85595646822798,45,0.392897642682877,0.349824957051972,0.831348721464687,"NS","NS","Venous",1
80,-12.6391979165599,-1.73131517530388,31,0.614876863651342,0.167108284846464,0.649151414211266,"NS","NS","Pericyte",1
81,1.75835156594721,21.3625628008676,40,-3.32004323666613,0.00059650291940465,0.00615864547166927,"FDR<0.01","CN-enriched","SMC",1
82,1.53112149988619,-7.95180549480201,30,-0.172106137964911,0.71318753718857,0.9233569293266,"NS","NS","Pericyte",1
83,4.21271904264894,2.142355935887,26,-2.81892928953027,0.000284458281138362,0.00574605727899492,"FDR<0.01","CN-enriched","Arterial",1
84,6.3520318190083,12.9764378304057,74,-2.71879361654748,1.68631367913501e-05,0.000851588407963181,"FDR<0.01","CN-enriched","SMC",1
85,13.7249459014533,-8.25194969368542,86,-0.00471194890796844,0.993502402519659,0.996292457218056,"NS","NS","Venous",1
86,6.61877879864744,13.027454172875,68,-2.77865832954246,1.31855053204701e-05,0.000851588407963181,"FDR<0.01","CN-enriched","SMC",1
87,-9.86462146485838,3.16815655372857,50,0.311519877820766,0.438109211243991,0.861410911511745,"NS","NS","Capillary",1
88,-12.4396926452928,-1.0982109750364,42,0.810767970330586,0.0491743237070485,0.275922594133994,"NS","NS","Pericyte",1
89,0.293763198859707,-6.7152216352221,35,0.190298312279022,0.667369356641588,0.9233569293266,"NS","NS","Pericyte",1
90,-8.63843816484007,5.4041123881173,25,-0.097735227608308,0.838027764549236,0.968055723352165,"NS","NS","Capillary",1
91,-9.76901843259244,1.9228192508419,31,-0.0996624465412864,0.853613546602276,0.968055723352165,"NS","NS","Capillary",0.967741935483871
92,1.0850331715608,-7.5949198419709,66,-0.175276145625281,0.658919118859658,0.9233569293266,"NS","NS","Pericyte",1
93,1.63680121967488,-6.75454418177231,70,0.144218976126613,0.722139211217655,0.9233569293266,"NS","NS","Pericyte",1
94,-9.48602372655346,2.22227797290777,49,0.537285895340434,0.204808692405452,0.723761230633037,"NS","NS","Capillary",1
95,2.0971558709831,-7.27349613094837,41,-0.14765138253518,0.722722085216327,0.9233569293266,"NS","NS","Pericyte",1
96,6.96135147367922,12.6038230417915,62,-2.16731393920489,0.00014831693592884,0.00408593641906548,"FDR<0.01","CN-enriched","SMC",0.983870967741935
97,-7.64896814073118,2.89790496080414,43,0.605230871539636,0.149673460612045,0.629875813409023,"NS","NS","Capillary",1
98,-11.4949473306039,-0.438034227566729,40,0.485573089682528,0.251552259113645,0.760759996476637,"NS","NS","Pericyte",1
99,1.63918358096541,-7.87970363372462,37,-0.373220575759115,0.407337836280796,0.861410911511745,"NS","NS","Pericyte",1
100,1.76607943258961,22.0511417807643,33,-3.06534590899282,0.000527010389871083,0.00615864547166927,"FDR<0.01","CN-enriched","SMC",1
101,-7.28580290172272,5.39394891228983,41,0.185230073982405,0.659679408871935,0.9233569293266,"NS","NS","Capillary",1
102,5.07747260073446,13.444367622909,26,-0.728298596502639,0.130112358190971,0.584059918990582,"NS","NS","SMC",1
103,13.4491599702033,-5.56147111360068,39,-0.0338629816308311,0.934130413112928,0.982783038795893,"NS","NS","Venous",1
104,12.8401967400729,-5.63645732325858,37,-0.233455518258335,0.600712306775494,0.9233569293266,"NS","NS","Venous",0.891891891891892
105,1.73536322866884,21.5306878104043,40,-3.32004323666613,0.00059650291940465,0.00615864547166927,"FDR<0.01","CN-enriched","SMC",1
106,13.7620065362849,-7.31707720964055,41,-0.16790058063563,0.693046658550508,0.9233569293266,"NS","NS","Venous",1
107,6.27785803659338,12.5396393926317,35,-2.25941543965115,1.2780345811983e-05,0.000851588407963181,"FDR<0.01","CN-enriched","SMC",1
108,1.67625478858756,-5.75956015300976,33,-0.2511470473974,0.597752816209845,0.9233569293266,"NS","NS","Pericyte",1
109,13.8711304739615,-7.48021850444556,40,0.118655640215318,0.785626956921331,0.955171499627775,"NS","NS","Venous",1
110,-8.60165566648039,2.53880930386304,40,0.46485329718821,0.273822552671244,0.779044445628045,"NS","NS","Capillary",1
111,-9.31573040513859,2.58901976853277,49,0.558743731622426,0.188315095334076,0.704437949212654,"NS","NS","Capillary",1
